users,sensors,iteration,response_time,status_code,users_grouped
1,1,0,218.54564700001333,200,1
1,1,0,243.31217700000707,200,1
1,1,0,251.90432299999088,200,1
1,1,0,273.89109599999983,200,1
1,1,0,244.93243500000972,200,1
1,1,0,214.0879380000058,200,1
1,1,0,275.34016999999267,200,1
1,1,0,270.68798899998114,200,1
1,1,0,261.00181099999986,200,1
1,1,0,236.73047399998381,200,1
1,1,0,199.60487999998122,200,1
1,1,0,236.30945200000042,200,1
1,1,0,206.48143099998606,200,1
1,1,0,205.6118859999856,200,1
1,1,0,225.25388799999746,200,1
1,1,0,183.20744400000422,200,1
1,1,0,213.10346899997512,200,1
1,1,0,204.4470269999863,200,1
1,1,0,217.4036870000009,200,1
1,1,0,197.82368900001757,200,1
1,1,0,195.5919760000029,200,1
1,1,0,180.33707099999674,200,1
1,1,0,185.27245000001358,200,1
1,1,0,188.44505000001277,200,1
1,1,0,215.64853900000003,200,1
1,1,0,237.8774789999909,200,1
1,1,0,179.3080570000143,200,1
1,1,0,175.33777400001327,200,1
1,1,0,164.8100950000071,200,1
1,1,0,231.8888420000178,200,1
1,1,0,186.11892399999874,200,1
1,1,0,191.85158499999488,200,1
1,1,0,169.6549059999768,200,1
1,1,0,176.4632670000026,200,1
1,1,0,198.2150190000027,200,1
1,1,0,191.79779199998848,200,1
1,1,0,252.30914200000143,200,1
1,1,0,214.4057770000245,200,1
1,1,0,182.31342999999356,200,1
1,1,0,180.69764099999475,200,1
1,1,0,158.20671599999514,200,1
1,1,0,166.1899510000069,200,1
1,1,0,173.26483699997652,200,1
1,1,0,166.6911789999972,200,1
1,1,0,214.2054660000099,200,1
1,1,0,160.08551900000612,200,1
1,1,0,178.33601300000623,200,1
1,1,0,233.4953159999884,200,1
1,1,0,156.91664600001332,200,1
1,1,0,166.6686770000183,200,1
1,1,0,184.40914399999997,200,1
1,1,0,182.95816400001286,200,1
1,1,0,168.86249699999212,200,1
1,1,0,157.37024799997812,200,1
1,1,0,152.9839000000095,200,1
1,1,0,165.97213099998953,200,1
1,1,0,173.12008400000423,200,1
1,1,0,166.85291899997878,200,1
1,1,0,240.03901099999325,200,1
1,1,0,171.6787490000229,200,1
1,1,0,155.04601000000662,200,1
1,1,0,158.4797250000065,200,1
1,1,0,167.58224099999097,200,1
1,1,0,165.5387389999987,200,1
1,1,0,159.34700700000803,200,1
1,1,0,176.35781300000986,200,1
1,1,0,161.50946199999794,200,1
1,1,0,154.41583199998377,200,1
1,1,0,162.47208600000818,200,1
1,1,0,159.88774600000966,200,1
1,1,0,178.88812900000062,200,1
1,1,0,156.904830000002,200,1
1,1,0,169.12742200000253,200,1
1,1,0,177.3090320000108,200,1
1,1,0,155.13304800001038,200,1
1,1,0,166.6959499999905,200,1
1,1,0,166.6679369999997,200,1
1,1,0,159.10540100000503,200,1
1,1,0,156.8139900000176,200,1
1,1,0,168.36908800001993,200,1
1,1,0,164.23806500000637,200,1
1,1,0,163.10466499999166,200,1
1,1,0,173.7615680000033,200,1
1,1,0,165.74102799998514,200,1
1,1,0,177.96582200000444,200,1
1,1,0,166.55698900001425,200,1
1,1,0,165.4955189999896,200,1
1,1,0,156.27957199998832,200,1
1,1,0,166.3925820000145,200,1
1,1,0,174.6087589999945,200,1
1,1,0,166.89533299998516,200,1
1,1,0,180.57540000000927,200,1
1,1,0,292.1670959999858,200,1
1,1,0,177.50332599999297,200,1
1,1,0,183.14161300000364,200,1
1,1,0,203.7582250000014,200,1
1,1,0,187.05528999998933,200,1
1,1,0,169.4586460000096,200,1
1,1,0,158.55441700000483,200,1
1,1,0,171.77312800001232,200,1
1,1,0,168.1097809999983,200,1
1,1,0,172.14667300001452,200,1
1,1,0,173.45523299999854,200,1
1,1,0,211.1903310000116,200,1
1,1,0,178.02338899997494,200,1
1,1,0,161.59428800000342,200,1
1,1,0,168.80326599999762,200,1
1,1,0,161.8546189999961,200,1
1,1,0,162.19236100002377,200,1
1,1,0,157.76342099999852,200,1
1,1,0,162.41268699999978,200,1
1,1,0,159.96949000000882,200,1
1,1,0,159.02917599999,200,1
1,1,0,172.15247400000067,200,1
1,1,0,154.85976700000492,200,1
