user,percentage_personalization,response_probability,accuracy,f1
0,0.0,0.0,46.15384615384615,0.41175439720567003
0,0.05,0.1,61.0079575596817,0.5346386946386946
0,0.05,0.2,54.641909814323604,0.4872823691239283
0,0.05,0.5,54.37665782493369,0.44585654244886525
0,0.05,0.8,77.71883289124668,0.7268164466822709
0,0.05,0.9,93.63395225464191,0.9366938852633554
0,0.05,1.0,93.63395225464191,0.9366938852633554
0,0.1,0.1,56.49867374005305,0.4449304065805414
0,0.1,0.2,62.86472148541114,0.5609599433448341
0,0.1,0.5,82.49336870026525,0.8089499583617229
0,0.1,0.8,79.3103448275862,0.7441412741944887
0,0.1,0.9,94.16445623342175,0.9431097764431098
0,0.1,1.0,91.77718832891247,0.9196089971249789
0,0.2,0.1,66.3129973474801,0.6085535554432893
0,0.2,0.2,94.6949602122016,0.9477024067051065
0,0.2,0.5,89.65517241379311,0.899660612340524
0,0.2,0.8,95.22546419098143,0.953285595761928
0,0.2,0.9,94.96021220159152,0.9504282400273734
0,0.2,1.0,90.18567639257294,0.9046280750339581
0,0.5,0.1,94.42970822281167,0.9452175369540639
0,0.5,0.2,93.36870026525199,0.9353870523990162
0,0.5,0.5,92.83819628647215,0.9307904746852115
0,0.5,0.8,95.49071618037135,0.9558644947866505
0,0.5,0.9,95.75596816976127,0.9583888061311953
0,0.5,1.0,98.14323607427056,0.9819922356505879
0,0.8,0.1,93.36870026525199,0.9354408763380399
0,0.8,0.2,98.14323607427056,0.9819579498321591
0,0.8,0.5,90.45092838196287,0.9080811648808822
0,0.8,0.8,99.73474801061008,0.9974189251071979
0,0.8,0.9,99.20424403183024,0.9922567753215936
0,0.8,1.0,99.46949602122015,0.9948384948384948
0,0.99,0.1,89.92042440318302,0.9018512742439123
0,0.99,0.2,96.55172413793103,0.9663932388764603
0,0.99,0.5,99.46949602122015,0.9948384948384948
0,0.99,0.8,99.46949602122015,0.9948384948384948
0,0.99,0.9,99.46949602122015,0.9948384948384948
0,0.99,1.0,96.55172413793103,0.9664012672474884
