user,percentage_personalization,response_probability,accuracy,f1
0,0.0,0.0,51.9893899204244,0.4755513476079617
0,0.05,0.1,54.11140583554376,0.4822466772775976
0,0.05,0.2,64.9867374005305,0.5948173853061579
0,0.05,0.5,92.3076923076923,0.9233215721983191
0,0.05,0.8,85.41114058355437,0.8475804055166881
0,0.05,0.9,93.36870026525199,0.9346682298090687
0,0.05,1.0,91.51193633952255,0.9150101155364062
0,0.1,0.2,81.6976127320955,0.7915619127305085
0,0.1,0.5,85.94164456233422,0.8482573936734509
0,0.1,0.8,80.90185676392574,0.7713620030075351
0,0.1,0.9,80.63660477453581,0.767615757346048
0,0.1,1.0,80.90185676392574,0.7704554725280428
0,0.2,0.1,72.14854111405836,0.7090600645968986
0,0.2,0.2,56.23342175066313,0.5370402212166918
0,0.2,0.5,82.49336870026525,0.7975642766344879
0,0.2,0.8,85.14588859416446,0.8363499245852186
0,0.2,0.9,80.63660477453581,0.76220560778962
0,0.2,1.0,88.85941644562334,0.8850020093786514
0,0.5,0.1,93.63395225464191,0.9371847556659946
0,0.5,0.2,77.18832891246684,0.748102948109937
0,0.5,0.5,85.6763925729443,0.8446912953519318
0,0.5,0.8,84.35013262599469,0.8248839101919672
0,0.5,0.9,93.36870026525199,0.9341574274669725
0,0.5,1.0,85.6763925729443,0.8437266616878268
0,0.8,0.1,79.04509283819628,0.7397194677515044
0,0.8,0.2,82.49336870026525,0.7959712804148384
0,0.8,0.5,88.59416445623341,0.8811148272017837
0,0.8,0.8,91.51193633952255,0.9144237405106971
0,0.8,0.9,94.96021220159152,0.950439648281375
0,0.8,1.0,94.42970822281167,0.9450656090460317
0,0.99,0.1,86.47214854111405,0.8674046486424064
0,0.99,0.2,81.96286472148542,0.7841932841932842
0,0.99,0.5,94.16445623342175,0.9423597025016903
0,0.99,0.8,88.06366047745358,0.8746687031130677
0,0.99,0.9,96.0212201591512,0.9610569071646916
0,0.99,1.0,92.04244031830238,0.9201579670329672
1,0.0,0.0,56.91056910569106,0.5423943828307853
1,0.05,0.1,30.62330623306233,0.19975811948897246
1,0.05,0.2,58.265582655826556,0.45674556213017753
1,0.05,0.5,61.24661246612466,0.5430640631711104
1,0.05,0.8,79.94579945799458,0.7726010416873776
1,0.05,0.9,80.21680216802169,0.7969120135762604
1,0.05,1.0,81.02981029810299,0.8072469353182982
1,0.1,0.1,46.612466124661246,0.34256395713680277
1,0.1,0.2,44.986449864498645,0.3513949739513338
1,0.1,0.5,81.02981029810299,0.7930055878404572
1,0.1,0.8,84.01084010840108,0.8346265620889592
1,0.1,0.9,85.36585365853658,0.8499355837682885
1,0.1,1.0,89.4308943089431,0.8934204129142721
1,0.2,0.1,73.17073170731707,0.6639637014452184
1,0.2,0.2,67.47967479674797,0.6315979873451089
1,0.2,0.5,81.30081300813008,0.8076219717427889
1,0.2,0.8,88.34688346883469,0.8803636824869703
1,0.2,0.9,85.09485094850949,0.8460163845565228
1,0.2,1.0,89.70189701897019,0.8957602829214537
1,0.5,0.1,89.15989159891599,0.8900191086635972
1,0.5,0.2,90.78590785907859,0.9063474041340207
1,0.5,0.5,90.2439024390244,0.9015681634972829
1,0.5,0.8,91.0569105691057,0.9091156925013137
1,0.5,0.9,86.72086720867209,0.8643839530114039
1,0.5,1.0,92.41192411924119,0.923268056295987
1,0.8,0.1,76.15176151761517,0.7450447644986085
1,0.8,0.2,88.6178861788618,0.8850772474879511
1,0.8,0.5,91.32791327913279,0.9121897165604611
1,0.8,0.8,92.95392953929539,0.9293915724338259
1,0.8,0.9,92.95392953929539,0.9292550579164456
1,0.8,1.0,93.4959349593496,0.9345743178410558
1,0.99,0.1,83.46883468834689,0.8298156570164323
1,0.99,0.2,88.34688346883469,0.8817191746996578
1,0.99,0.5,92.95392953929539,0.929000516587292
1,0.99,0.8,88.6178861788618,0.8844151632930515
1,0.99,0.9,93.22493224932249,0.9318068540398562
1,0.99,1.0,93.76693766937669,0.937484945838769
2,0.0,0.0,37.967914438502675,0.3191695544041394
2,0.05,0.1,59.62566844919786,0.49899665551839467
2,0.05,0.2,59.893048128342244,0.5494329424656555
2,0.05,0.5,75.66844919786097,0.6941850941850942
2,0.05,0.8,93.31550802139037,0.9337739529822684
2,0.05,0.9,93.04812834224599,0.9313696060037524
2,0.05,1.0,93.04812834224599,0.9316711611341674
2,0.1,0.1,43.58288770053476,0.3226919537270988
2,0.1,0.2,81.55080213903743,0.7905040533247403
2,0.1,0.5,86.63101604278074,0.8599820645592852
2,0.1,0.8,95.72192513368984,0.9568844301909042
2,0.1,0.9,72.72727272727273,0.6890546088540509
2,0.1,1.0,85.29411764705883,0.8471290173458701
2,0.2,0.1,70.32085561497327,0.6565436090588925
2,0.2,0.2,52.406417112299465,0.39603124229401204
2,0.2,0.5,95.18716577540107,0.952150361713176
2,0.2,0.8,97.05882352941177,0.9704015674541605
2,0.2,0.9,97.59358288770053,0.9760459866112046
2,0.2,1.0,98.1283422459893,0.9813137314373733
2,0.5,0.1,82.3529411764706,0.782693913213795
2,0.5,0.2,95.98930481283422,0.9598911571693431
2,0.5,0.5,97.59358288770053,0.975710004913641
2,0.5,0.8,98.93048128342247,0.9893918410219035
2,0.5,0.9,99.46524064171123,0.994801687763713
2,0.5,1.0,99.19786096256685,0.9920764047802928
2,0.8,0.1,89.03743315508021,0.8877977655415833
2,0.8,0.2,95.98930481283422,0.9597376238294597
2,0.8,0.5,99.46524064171123,0.9947837906719904
2,0.8,0.8,99.46524064171123,0.9946570319818011
2,0.8,0.9,100.0,1.0
2,0.8,1.0,100.0,1.0
2,0.99,0.1,92.7807486631016,0.928373576893119
2,0.99,0.2,97.05882352941177,0.9710892774747762
2,0.99,0.5,98.66310160427807,0.9866018893949651
2,0.99,0.8,99.46524064171123,0.994801687763713
2,0.99,0.9,100.0,1.0
2,0.99,1.0,100.0,1.0
7,0.0,0.0,75.72559366754618,0.6969639049253653
7,0.05,0.2,60.68601583113456,0.5181110797811126
7,0.05,0.5,89.9736147757256,0.8989342747927239
7,0.05,0.8,96.56992084432717,0.9657305323113594
7,0.05,0.9,96.04221635883906,0.9608962334786213
7,0.05,1.0,93.93139841688654,0.9395336008102007
7,0.1,0.1,59.10290237467019,0.4837110016420361
7,0.1,0.2,93.13984168865436,0.9330538650073903
7,0.1,0.5,83.64116094986808,0.8268624670348809
7,0.1,0.8,98.41688654353563,0.9843472919898119
7,0.1,0.9,96.56992084432717,0.9662268007738778
7,0.1,1.0,92.34828496042216,0.9226367195903791
7,0.2,0.1,72.82321899736148,0.666554343032873
7,0.2,0.2,74.40633245382585,0.6858308217801888
7,0.2,0.5,95.25065963060686,0.953023335466599
7,0.2,0.8,97.62532981530343,0.9765658191176613
7,0.2,0.9,97.0976253298153,0.9712668658086449
7,0.2,1.0,95.77836411609499,0.9584890313259354
7,0.5,0.1,94.1952506596306,0.9420664850962093
7,0.5,0.2,94.9868073878628,0.9505051586183662
7,0.5,0.5,96.56992084432717,0.9661189792199046
7,0.5,0.8,99.73614775725594,0.9974193548387097
7,0.5,0.9,99.47229551451187,0.9946112115732368
7,0.5,1.0,99.47229551451187,0.9947656517276771
7,0.8,0.1,97.62532981530343,0.9763365991640252
7,0.8,0.2,97.36147757255937,0.9738577456780918
7,0.8,0.5,98.15303430079156,0.9818538269952851
7,0.8,0.8,98.68073878627969,0.9870881752676081
7,0.8,0.9,100.0,1.0
7,0.8,1.0,100.0,1.0
7,0.99,0.1,94.1952506596306,0.9424374139366941
7,0.99,0.2,99.73614775725594,0.9974193548387097
7,0.99,0.5,98.68073878627969,0.9870881752676081
7,0.99,0.8,96.3060686015831,0.9635212432315653
7,0.99,0.9,100.0,1.0
7,0.99,1.0,100.0,1.0
8,0.0,0.0,95.55555555555556,0.9548271777558004
8,0.05,0.1,38.51851851851852,0.28493268081459594
8,0.05,0.2,83.95061728395062,0.8378432455315725
8,0.05,0.5,94.5679012345679,0.944691716850633
8,0.05,0.8,98.51851851851852,0.9852864055361825
8,0.05,0.9,97.53086419753086,0.9753675671252993
8,0.05,1.0,98.0246913580247,0.9799009263067202
8,0.1,0.1,28.88888888888889,0.21838526912181302
8,0.1,0.2,80.49382716049382,0.7320754265204046
8,0.1,0.5,96.54320987654322,0.9647612173980413
8,0.1,0.8,97.77777777777777,0.9774054443827922
8,0.1,0.9,96.04938271604938,0.959333356101226
8,0.1,1.0,99.25925925925925,0.9926862705888923
8,0.2,0.1,90.12345679012346,0.8930635080511783
8,0.2,0.2,96.29629629629629,0.9631381484769964
8,0.2,0.5,98.76543209876543,0.9877882044603481
8,0.2,0.8,96.79012345679013,0.9681782974059189
8,0.2,0.9,99.50617283950618,0.9950456600347419
8,0.2,1.0,99.50617283950618,0.9950456600347419
8,0.5,0.1,95.55555555555556,0.9538628290621652
8,0.5,0.2,80.98765432098766,0.7792777777777778
8,0.5,0.5,99.01234567901234,0.9899705349660748
8,0.5,0.8,99.75308641975309,0.99757973391653
8,0.5,0.9,99.50617283950618,0.9950456600347419
8,0.5,1.0,99.75308641975309,0.99757973391653
8,0.8,0.1,98.51851851851852,0.9848820325450793
8,0.8,0.2,97.53086419753086,0.9746451105707152
8,0.8,0.5,99.75308641975309,0.99757973391653
8,0.8,0.8,99.75308641975309,0.99757973391653
8,0.8,0.9,99.75308641975309,0.99757973391653
8,0.8,1.0,99.75308641975309,0.99757973391653
8,0.99,0.1,97.77777777777777,0.9772133938321093
8,0.99,0.2,98.51851851851852,0.9848820325450793
8,0.99,0.5,99.75308641975309,0.99757973391653
8,0.99,0.8,99.01234567901234,0.9899705349660748
8,0.99,0.9,99.75308641975309,0.99757973391653
8,0.99,1.0,99.75308641975309,0.99757973391653
9,0.0,0.0,66.01123595505618,0.5977306405397238
9,0.05,0.1,62.640449438202246,0.5103275995316701
9,0.05,0.2,53.651685393258425,0.44121733192964
9,0.05,0.5,68.25842696629213,0.5978409362984662
9,0.05,0.8,73.87640449438203,0.7098213360463838
9,0.05,0.9,80.89887640449439,0.80560119748817
9,0.05,1.0,74.71910112359551,0.7241705565497016
9,0.1,0.1,60.39325842696629,0.562557093389543
9,0.1,0.2,76.68539325842697,0.7353443180160125
9,0.1,0.5,69.66292134831461,0.6236498512360582
9,0.1,0.8,77.80898876404494,0.7499183546786894
9,0.1,0.9,77.52808988764045,0.7450867215937429
9,0.1,1.0,84.26966292134831,0.8405250527482041
9,0.2,0.1,60.39325842696629,0.488613765089536
9,0.2,0.2,78.37078651685393,0.7870914302732485
9,0.2,0.5,73.87640449438203,0.6967300261738508
9,0.2,0.8,77.24719101123596,0.7400163997743509
9,0.2,0.9,73.59550561797752,0.6999388628501586
9,0.2,1.0,79.7752808988764,0.7737310007860932
9,0.5,0.1,83.14606741573034,0.8298155787870407
9,0.5,0.2,70.78651685393258,0.6751108722412799
9,0.5,0.5,77.24719101123596,0.7507958123840006
9,0.5,0.8,79.21348314606742,0.7690197745734008
9,0.5,0.9,79.7752808988764,0.7778862670159488
9,0.5,1.0,79.7752808988764,0.7734906673284014
9,0.8,0.1,75.28089887640449,0.7234316636321072
9,0.8,0.2,76.68539325842697,0.7276460077718788
9,0.8,0.5,78.65168539325843,0.7664927536231885
9,0.8,0.8,78.65168539325843,0.7622114812922538
9,0.8,0.9,80.33707865168539,0.7789621882542237
9,0.8,1.0,80.89887640449439,0.7898045565234048
9,0.99,0.1,76.12359550561797,0.7337874167771276
9,0.99,0.2,77.80898876404494,0.7540949949951067
9,0.99,0.5,78.08988764044943,0.7475118171980076
9,0.99,0.8,79.7752808988764,0.7694002447980417
9,0.99,0.9,81.74157303370787,0.8013915243516762
9,0.99,1.0,80.61797752808988,0.7874460631553915
6,0.0,0.0,37.91208791208791,0.2262060020573371
6,0.05,0.1,49.72527472527472,0.39852752249545353
6,0.05,0.2,40.38461538461539,0.3085052202699261
6,0.05,0.5,81.5934065934066,0.8099005679954441
6,0.05,0.8,70.87912087912088,0.6749334809544136
6,0.05,0.9,79.94505494505495,0.7916882465511434
6,0.05,1.0,91.20879120879121,0.9134944247671519
6,0.1,0.1,70.87912087912088,0.6740824203462863
