user,percentage_personalization,response_probability,accuracy,f1
0,0.0,0.0,58.355437665782496,0.5738141215453882
0,0.05,0.2,56.49867374005305,0.5028201717277347
0,0.05,0.5,76.39257294429709,0.7626731559888146
0,0.05,0.8,79.04509283819628,0.7880199537207225
0,0.05,0.9,86.47214854111405,0.8602009846799035
0,0.05,1.0,85.94164456233422,0.8559846213100128
0,0.1,0.1,36.87002652519894,0.22629929598861082
0,0.1,0.2,58.88594164456234,0.5270194484029667
0,0.1,0.5,90.18567639257294,0.9010900887451697
0,0.1,0.8,77.18832891246684,0.750675695430579
0,0.1,0.9,84.88063660477454,0.8451861265861021
0,0.1,1.0,88.59416445623341,0.8817826481991802
0,0.2,0.1,48.80636604774536,0.3945291777188329
0,0.2,0.2,70.82228116710876,0.6946403552549464
0,0.2,0.5,68.96551724137932,0.6364873592063649
0,0.2,0.8,85.94164456233422,0.8576220064319102
0,0.2,0.9,89.92042440318302,0.8976298457253942
0,0.2,1.0,89.12466843501326,0.8899719420766712
0,0.5,0.1,74.80106100795756,0.7418382790507247
0,0.5,0.2,74.80106100795756,0.7426916963159065
0,0.5,0.5,89.12466843501326,0.8887032055491808
0,0.5,0.8,93.10344827586206,0.931147541790625
0,0.5,0.9,94.96021220159152,0.9499318301527623
0,0.5,1.0,94.16445623342175,0.9417510026157927
0,0.8,0.1,73.47480106100795,0.734452024591318
0,0.8,0.2,87.26790450928382,0.8690996488076672
0,0.8,0.5,93.63395225464191,0.936508959541271
0,0.8,0.8,93.36870026525199,0.9334716354595873
0,0.8,0.9,94.6949602122016,0.9470524340911126
0,0.8,1.0,92.57294429708223,0.9256915194034869
0,0.99,0.1,90.71618037135279,0.9068278873121363
0,0.99,0.2,93.36870026525199,0.9336418746816098
0,0.99,0.5,93.63395225464191,0.9362085431515528
0,0.99,0.8,92.57294429708223,0.9259367831528771
0,0.99,0.9,93.36870026525199,0.9338184785204948
0,0.99,1.0,95.75596816976127,0.9580245912178686
1,0.0,0.0,35.50135501355014,0.29457713185704704
1,0.05,0.1,48.50948509485095,0.3562308095044185
1,0.05,0.2,67.20867208672087,0.6023992864534702
1,0.05,0.5,63.956639566395665,0.5774024432627811
1,0.05,0.8,67.75067750677506,0.6425880861287825
1,0.05,0.9,60.704607046070464,0.5154940208371916
1,0.05,1.0,73.44173441734418,0.7125046685340803
1,0.1,0.1,20.05420054200542,0.06836027713625867
1,0.1,0.2,73.98373983739837,0.7048530715721903
1,0.1,0.5,58.265582655826556,0.5093588395865581
1,0.1,0.8,76.96476964769647,0.7448162846957281
1,0.1,0.9,74.52574525745257,0.7156955117029331
1,0.1,1.0,77.50677506775068,0.7504400559040977
1,0.2,0.1,37.669376693766935,0.23411559148994482
1,0.2,0.2,63.956639566395665,0.5801819063788504
1,0.2,0.5,75.33875338753387,0.7330278742106738
