user,percentage_personalization,accuracy,f1
0,0.0,51.9893899204244,0.4755513476079617
0,0.05,88.3289124668435,0.8797008678951885
0,0.1,87.0026525198939,0.8620782661047561
0,0.2,87.26790450928382,0.8647272727272727
0,0.5,89.38992042440319,0.8905367231638419
0,0.8,96.0212201591512,0.9610569071646916
0,0.99,93.36870026525199,0.9341574274669725
1,0.0,56.91056910569106,0.5423943828307853
1,0.05,82.38482384823848,0.8199129654247764
1,0.1,87.26287262872629,0.8692399905589994
1,0.2,90.78590785907859,0.90686057508938
1,0.5,92.95392953929539,0.9289405886318052
1,0.8,93.22493224932249,0.9317828645485869
1,0.99,93.4959349593496,0.9344750711104529
2,0.0,37.967914438502675,0.3191695544041394
2,0.05,92.51336898395722,0.9267363820820977
2,0.1,96.79144385026738,0.9680830115830116
2,0.2,98.39572192513369,0.9840695893942468
2,0.5,99.73262032085562,0.9973998564855853
2,0.8,99.73262032085562,0.9973998564855853
2,0.99,99.73262032085562,0.9973998564855853
7,0.0,75.72559366754618,0.6969639049253653
7,0.05,96.04221635883906,0.9607917116023451
7,0.1,95.25065963060686,0.9531123507693966
7,0.2,99.2084432717678,0.9922906187709968
7,0.5,99.2084432717678,0.9921461697718643
7,0.8,100.0,1.0
7,0.99,99.2084432717678,0.9922567753215936
8,0.0,95.55555555555556,0.9548271777558004
8,0.05,98.76543209876543,0.9877806254039518
8,0.1,99.50617283950618,0.9950456600347419
8,0.2,99.25925925925925,0.9925094634794803
8,0.5,99.75308641975309,0.99757973391653
8,0.8,99.75308641975309,0.99757973391653
8,0.99,99.75308641975309,0.99757973391653
9,0.0,66.01123595505618,0.5977306405397238
9,0.05,81.46067415730337,0.8123390387581855
9,0.1,76.12359550561797,0.7287956572217016
9,0.2,78.37078651685393,0.7619742087037424
9,0.5,79.49438202247191,0.7698758012537262
9,0.8,79.7752808988764,0.7713735329909139
9,0.99,80.89887640449439,0.7881746031746031
6,0.0,37.91208791208791,0.2262060020573371
6,0.05,87.36263736263736,0.8747906854148114
6,0.1,85.71428571428571,0.8545894575184796
6,0.2,93.4065934065934,0.9359234014759714
6,0.5,99.17582417582418,0.9912519840548629
6,0.8,98.62637362637362,0.9866984096026681
6,0.99,100.0,1.0
5,0.0,61.94225721784777,0.5664755209463536
5,0.05,74.01574803149606,0.7025243660657944
5,0.1,81.10236220472441,0.7863298474416924
5,0.2,95.2755905511811,0.9528559854690501
5,0.5,93.7007874015748,0.9369398672926709
5,0.8,97.3753280839895,0.974192459162226
5,0.99,97.9002624671916,0.9793423267140623
3,0.0,98.16272965879266,0.9815056953924104
3,0.05,96.3254593175853,0.9629247509016443
3,0.1,89.76377952755905,0.8911986294594991
3,0.2,96.85039370078741,0.9682229965156793
3,0.5,99.4750656167979,0.9947188357245798
3,0.8,99.73753280839895,0.9973505285783217
3,0.99,100.0,1.0
4,0.0,78.77984084880637,0.7240058479532163
4,0.05,90.9814323607427,0.9010732618974016
4,0.1,94.42970822281167,0.9420646347807992
4,0.2,98.93899204244032,0.9893500401903529
4,0.5,99.73474801061008,0.9973683071462581
4,0.8,99.73474801061008,0.9973683071462581
4,0.99,99.73474801061008,0.9973683071462581
